FID,FID_Georgi,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Leng,Length
0,0,1104475228022, , ,S1630,0.002711948,216.3110046
1,1,110485880461,E Anderson Ln,M,S1640,0.004035221,416.2139893
2,2,110485880461,E Anderson Ln,M,S1640,0.004035221,416.2139893
3,3,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
4,4,110485877400,Gessner Dr,M,S1400,0.003172301,306.1690063
5,5,110485880229,Wonsley Dr E,M,S1400,0.006655668,637.3179932
6,6,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766
7,7,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
8,8,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
9,9,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073
10,10,11012812858705, , ,S1780,0.00233298,223.4219971
11,11,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
12,12,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
13,13,110485880229,Wonsley Dr E,M,S1400,0.006655668,637.3179932
14,14,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073
15,15,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
16,16,11012812858843, , ,S1780,0.00077565,82.41870117
17,17,11010881623295, , ,S1630,5.12025E-06,0.512497008
18,18,11012812897108, , ,S1780,0.000406004,27.79030037
19,19,11012812897106, , ,S1780,0.000557524,59.49860001
20,20,11012812858859, , ,S1780,0.003416995,316.946991
21,21,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766
22,22,11012812897104, , ,S1780,0.000497077,53.06539917
23,23,11012812897105, , ,S1780,0.000607771,60.28929901
24,24,11012812897107, , ,S1780,0.001500614,150.9700012
25,25,110485879039,Purnell Dr,M,S1400,0.002198793,233.4199982
26,26,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059
27,27,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
28,28,110485718866,E Lola Dr,M,S1400,0.002922113,291.2269897
29,29,11012812897109, , ,S1780,0.00074649,81.16560364
30,30,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059
31,31,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
32,32,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005
33,33,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
34,34,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073
35,35,110485719124,W Lola Dr,M,S1400,0.002018466,199.5590057
36,36,11012812858966, , ,S1780,0.003937761,389.4580078
37,37,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766
38,38,110485896326,Sam Rayburn Dr,M,S1400,0.002212022,236.4049988
39,39,110485901502,John N Garner Cir,M,S1400,0.0011384,110.4499969
40,40,110485906707,John Nance Garner Cir,M,S1400,0.0011384,110.4499969
41,41,110485901502,John N Garner Cir,M,S1400,0.0011384,110.4499969
42,42,110485906707,John Nance Garner Cir,M,S1400,0.0011384,110.4499969
43,43,1103571766677,S Red Oak Cir,M,S1400,0.000898561,96.2888031
44,44,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
45,45,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005
46,46,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
47,47,110486144371, , ,S1740,0.004105996,417.8559875
48,48,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978
49,49,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978
50,50,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
51,51,110485879123,Red Oak Cir,M,S1400,0.001960056,194.9400024
52,52,11012812897096, , ,S1780,0.003854297,404.8080139
53,53,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
54,54,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027
55,55,11012812897100, , ,S1780,0.000883655,94.21240234
56,56,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027
57,57,110485882604,Jennifer Ln,M,S1400,0.000941837,92.99549866
58,58,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
59,59,110485844079,Oertli Ln,M,S1400,0.004028539,395.3880005
60,60,11012812897096, , ,S1780,0.003854297,404.8080139
61,61,11012812858153, , ,S1780,0.000670461,66.06269836
62,62,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929
63,63,11012812897098, , ,S1780,0.000498176,52.21319962
64,64,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929
65,65,110485883791,Primrose St,M,S1400,0.001355409,133.1289978
66,66,11012812858121, , ,S1780,0.000901979,89.10389709
67,67,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027
68,68,110485779348,N Lamar Blvd,M,S1200,0.004492485,432.7210083
69,69,110485844497,Powell Ln W,M,S1400,0.006918805,690.6240234
70,70,110485845491,Walnut Dr E,M,S1400,0.002428089,238.0859985
71,71,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929
72,72,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027
73,73,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095
74,74,110485884038,Rosemary Ln,M,S1400,0.001147919,125.7089996
75,75,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
76,76,110485845491,Walnut Dr E,M,S1400,0.002428089,238.0859985
77,77,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095
78,78,11012812897099, , ,S1780,0.00105098,115.2369995
79,79,110485841176,Bolles Cir,M,S1400,0.003290623,333.8649902
80,80,110485845493,Walnut Dr W,M,S1400,0.000793562,77.50009918
81,81,11012812897097, , ,S1780,0.002173832,224.1309967
82,82,110485842317,Dungan St,M,S1400,0.002078358,220.0429993
83,83,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095
84,84,11012812897101, , ,S1780,0.00106184,112.3199997
85,85,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
86,86,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
87,87,1103571769587, , ,S1400,0.00035822,35.56650162
88,88,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883
89,89,110485884204,San Jose St,M,S1400,0.002106964,209.0789948
90,90,110485842317,Dungan St,M,S1400,0.002078358,220.0429993
91,91,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929
92,92,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
93,93,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929
94,94,110485884204,San Jose St,M,S1400,0.002106964,209.0789948
95,95,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883
96,96,110485841060,Beaver St,M,S1400,0.004838267,484.1589966
97,97,110485901619,Little Walnut Dr,M,S1400,0.00096628,95.6026001
98,98,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
99,99,110485901620,Little Walnut Dr,M,S1400,0.001131185,113.2949982
100,100,110485878174,Laverty Pl,M,S1400,0.00091086,97.3585968
101,101,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057
102,102,110485901618,Little Walnut Dr,M,S1400,0.000433206,46.43270111
103,103,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
104,104,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057
105,105,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883
106,106,110485877184,Elliott St W,M,S1400,0.004470968,447.3739929
107,107,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
108,108,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057
109,109,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
110,110,110485841060,Beaver St,M,S1400,0.004838267,484.1589966
111,111,110485715672,East Dr,M,S1400,0.004843723,516.8140259
112,112,110485879385,Schirra Pl,M,S1400,0.00039104,39.13970184
113,113,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
114,114,110485877184,Elliott St W,M,S1400,0.004470968,447.3739929
115,115,110485715672,East Dr,M,S1400,0.004843723,516.8140259
116,116,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
117,117,110485716040,Home Pl E,M,S1400,0.001497161,148.2140045
118,118,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
119,119,110485844073,Oakley Ct,M,S1400,0.000286531,28.2798996
120,120,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849
121,121,110485716041,Home Pl W,M,S1400,0.001219553,121.0660019
122,122,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
123,123,110485715578,Deen Ave,M,S1400,0.00393749,414.256012
124,124,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
125,125,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
126,126,110485714097,Jan Ct,M,S1400,0.000663218,65.83139801
127,127,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849
128,128,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
129,129,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011
130,130,110485866745,Capitol Dr,M,S1400,0.005639431,577.9840088
131,131,110485843721,Middle Ln,M,S1400,0.004470927,442.480011
132,132,110485715672,East Dr,M,S1400,0.004843723,516.8140259
133,133,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073
134,134,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
135,135,1105321422237,Payton Gin Rd,M,S1400,0.000191552,19.01479912
136,136,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073
137,137,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011
138,138,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
139,139,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
140,140,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
141,141,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011
142,142,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
143,143,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073
144,144,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
145,145,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722
146,146,110485877478,Grissom Ct,M,S1400,0.00058008,57.48649979
147,147,1104475062440, , ,S1630,0.00038119,41.19260025
148,148,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722
149,149,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922
150,150,110485817823,North Dr,M,S1400,0.002855732,304.8699951
151,151,110485843721,Middle Ln,M,S1400,0.004470927,442.480011
152,152,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849
153,153,110485886617,W Fawnridge Dr,M,S1400,0.001115352,110.689003
154,154,110485817823,North Dr,M,S1400,0.002855732,304.8699951
155,155,110485886974,Hackberry Ln,M,S1400,0.002210073,218.8470001
156,156,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
157,157,110485842683,Gordon Ct,M,S1400,0.000615543,60.91460037
158,158,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849
159,159,110485817823,North Dr,M,S1400,0.002855732,304.8699951
160,160,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722
161,161,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
162,162,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917
163,163,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001
164,164,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722
165,165,110485879475,Shepard Dr,M,S1400,0.003273476,350.4700012
166,166,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917
167,167,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259
168,168,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
169,169,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917
170,170,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849
171,171,1105598230786,W Rundberg Ln,M,S1400,0.004445489,426.6069946
172,172,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956
173,173,1105598230786,W Rundberg Ln,M,S1400,0.004445489,426.6069946
